student_id,Frame,Emotions,Main Emotion,Region,Face Position
student_0,60,"{'angry': 0.009415611566510051, 'disgust': 5.601381136699501e-07, 'fear': 3.679594442473899e-05, 'happy': 99.99018907546997, 'sad': 0.0003593508154153824, 'surprise': 1.7205487251939489e-10, 'neutral': 4.077111270817113e-06}",happy,"{'x': 514, 'y': 603, 'w': 58, 'h': 70, 'left_eye': (540, 631), 'right_eye': (521, 632)}","['Right', array([-22.458652], dtype=float32), array([35.954964], dtype=float32), array([-13.100989], dtype=float32)]"
student_1,60,"{'angry': 0.06941076717339456, 'disgust': 0.00018696258621275774, 'fear': 84.49187278747559, 'happy': 10.027413815259933, 'sad': 5.361832678318024, 'surprise': 0.021261557412799448, 'neutral': 0.028019101591780782}",fear,"{'x': 1238, 'y': 607, 'w': 48, 'h': 57, 'left_eye': (1269, 636), 'right_eye': (1248, 631)}","['Right', array([-27.675217], dtype=float32), array([44.640347], dtype=float32), array([2.4519446], dtype=float32)]"
student_2,60,"{'angry': 99.6601700377667, 'disgust': 1.2053985116208029e-09, 'fear': 0.0058902991186671775, 'happy': 0.012448754597865593, 'sad': 0.03859402955513055, 'surprise': 1.2922342959604827e-06, 'neutral': 0.2828979270634564}",angry,"{'x': 1459, 'y': 595, 'w': 57, 'h': 57, 'left_eye': (1499, 625), 'right_eye': (1474, 617)}","['Forward', array([-16.88279], dtype=float32), array([16.514153], dtype=float32), array([20.781038], dtype=float32)]"
student_3,60,"{'angry': 1.4334040693938732, 'disgust': 6.579018663188663e-07, 'fear': 1.060317549854517, 'happy': 0.17437281785532832, 'sad': 5.337822437286377, 'surprise': 0.001098715074476786, 'neutral': 91.99298024177551}",neutral,"{'x': 758, 'y': 474, 'w': 27, 'h': 38, 'left_eye': (777, 490), 'right_eye': (765, 490)}","['Right', array([-13.692181], dtype=float32), array([34.55851], dtype=float32), array([-8.483556], dtype=float32)]"
student_4,60,"{'angry': 0.04454680602066219, 'disgust': 0.000172506020135188, 'fear': 95.2360987663269, 'happy': 3.5914693027734756, 'sad': 1.1268471367657185, 'surprise': 1.7450942380037304e-05, 'neutral': 0.0008441051249974407}",fear,"{'x': 602, 'y': 489, 'w': 22, 'h': 29, 'left_eye': (617, 501), 'right_eye': (607, 501)}","['Right', array([-16.101883], dtype=float32), array([58.417103], dtype=float32), array([-12.365022], dtype=float32)]"
student_2,120,"{'angry': 1.4493590220808983, 'disgust': 1.0519181072709478e-14, 'fear': 7.590860384709686e-07, 'happy': 0.0010358605322835501, 'sad': 0.017062749247998, 'surprise': 3.3636932215280746e-10, 'neutral': 98.53253960609436}",neutral,"{'x': 1458, 'y': 598, 'w': 60, 'h': 58, 'left_eye': (1500, 628), 'right_eye': (1475, 620)}","['Forward', array([-12.916895], dtype=float32), array([9.22599], dtype=float32), array([23.42312], dtype=float32)]"
student_0,120,"{'angry': 1.024914908498431e-06, 'disgust': 1.7476727801491593e-11, 'fear': 8.971386411538163e-08, 'happy': 99.99802112579346, 'sad': 9.37167943249051e-07, 'surprise': 3.850142149541824e-08, 'neutral': 0.00198011639440665}",happy,"{'x': 530, 'y': 600, 'w': 55, 'h': 67, 'left_eye': (564, 626), 'right_eye': (540, 631)}","['Forward', array([-19.307283], dtype=float32), array([9.586952], dtype=float32), array([-9.052787], dtype=float32)]"
student_1,120,"{'angry': 1.7293522134423256, 'disgust': 8.89611101229093e-05, 'fear': 4.735442250967026, 'happy': 40.38066565990448, 'sad': 53.14903259277344, 'surprise': 7.162248127912108e-07, 'neutral': 0.005419605804490857}",sad,"{'x': 1239, 'y': 607, 'w': 50, 'h': 58, 'left_eye': (1272, 636), 'right_eye': (1249, 630)}","['Forward', array([-22.66758], dtype=float32), array([8.787689], dtype=float32), array([9.031732], dtype=float32)]"
student_3,120,"{'angry': 0.016373823249387204, 'disgust': 1.1322765818530287e-07, 'fear': 0.01322133745548204, 'happy': 99.44874650850933, 'sad': 0.01345972544714356, 'surprise': 0.006592804071140549, 'neutral': 0.5016031542744452}",happy,"{'x': 763, 'y': 476, 'w': 28, 'h': 38, 'left_eye': (784, 492), 'right_eye': (772, 492)}","['Forward', array([-14.944498], dtype=float32), array([-25.467531], dtype=float32), array([2.9327192], dtype=float32)]"
student_4,120,"{'angry': 9.744280576705933, 'disgust': 1.4126520603895187, 'fear': 2.56023071706295, 'happy': 0.0035178614780306816, 'sad': 85.68903803825378, 'surprise': 0.004353882832219824, 'neutral': 0.585924880579114}",sad,"{'x': 606, 'y': 490, 'w': 24, 'h': 29, 'left_eye': (624, 500), 'right_eye': (613, 500)}","['Forward', array([-21.030663], dtype=float32), array([3.9770646], dtype=float32), array([-6.338523], dtype=float32)]"
