student_id,Frame,Emotions,Main Emotion,Region,Face Position
HRnEUsOUUy7KEXHqUAGf,60,"{'angry': 6.014500558376312, 'disgust': 5.79770229593927e-14, 'fear': 61.16729974746704, 'happy': 0.0011246926987951156, 'sad': 0.7485237903892994, 'surprise': 0.1849405700340867, 'neutral': 31.883612275123596}",fear,"{'x': 547, 'y': 590, 'w': 51, 'h': 66, 'left_eye': (591, 615), 'right_eye': (575, 621)}","{'pitch': -11.977953910827637, 'yaw': -41.50690841674805, 'roll': -13.647324562072754}"
P6gF42vwzA2PjCkJPDLz,60,"{'angry': 76.35471820831299, 'disgust': 2.345023264113677e-10, 'fear': 0.21185919176787138, 'happy': 15.96536785364151, 'sad': 7.157732546329498, 'surprise': 4.743320181077593e-08, 'neutral': 0.310326274484396}",angry,"{'x': 1446, 'y': 573, 'w': 49, 'h': 56, 'left_eye': (1472, 597), 'right_eye': (1453, 593)}","{'pitch': -21.12765121459961, 'yaw': 26.443689346313477, 'roll': 8.384899139404297}"
TjABtUgRwT3xhUDKze4Q,60,"{'angry': 0.0001005197759695875, 'disgust': 1.059263995961679e-08, 'fear': 84.8595380783081, 'happy': 14.587530493736267, 'sad': 0.5358090624213219, 'surprise': 0.0045332322770264, 'neutral': 0.012489862274378538}",fear,"{'x': 1235, 'y': 605, 'w': 46, 'h': 55, 'left_eye': (1257, 632), 'right_eye': (1242, 626)}","{'pitch': -19.28492546081543, 'yaw': 50.644554138183594, 'roll': -5.178914546966553}"
pnAvdH03UCcuuJfrt2jv,60,"{'angry': 5.838317473135295, 'disgust': 1.000428349695408e-05, 'fear': 0.3824793044874901, 'happy': 0.003948105843404729, 'sad': 86.19172737697036, 'surprise': 7.189578066252237e-05, 'neutral': 7.583442916459689}",sad,"{'x': 606, 'y': 489, 'w': 24, 'h': 30, 'left_eye': (624, 500), 'right_eye': (614, 500)}","{'pitch': -15.078156471252441, 'yaw': -14.112398147583008, 'roll': -0.11515538394451141}"
lcZXTRvsQHCo3tJjbOfc,60,"{'angry': 2.4444804646945553, 'disgust': 2.913350264164952e-06, 'fear': 63.8271646293598, 'happy': 1.2277549664980134, 'sad': 3.6702369058414583, 'surprise': 0.5760790535603826, 'neutral': 28.25428882292376}",fear,"{'x': 761, 'y': 482, 'w': 26, 'h': 35, 'left_eye': (780, 495), 'right_eye': (769, 495)}","{'pitch': -19.04610252380371, 'yaw': -14.627533912658691, 'roll': -4.657341480255127}"
P6gF42vwzA2PjCkJPDLz,120,"{'angry': 0.0004903823992208345, 'disgust': 4.995444162492202e-11, 'fear': 0.0010696471690607723, 'happy': 0.049902888713404536, 'sad': 0.025896006263792515, 'surprise': 0.0001384689085170976, 'neutral': 99.92250204086304}",neutral,"{'x': 1457, 'y': 578, 'w': 57, 'h': 63, 'left_eye': (1498, 603), 'right_eye': (1473, 602)}","{'pitch': -17.433446884155273, 'yaw': -3.282555103302002, 'roll': 2.585102081298828}"
HRnEUsOUUy7KEXHqUAGf,120,"{'angry': 53.794270753860474, 'disgust': 4.473868955301441e-05, 'fear': 0.460149347782135, 'happy': 0.21934479009360075, 'sad': 3.9805617183446884, 'surprise': 0.003879787982441485, 'neutral': 41.541749238967896}",angry,"{'x': 543, 'y': 594, 'w': 53, 'h': 67, 'left_eye': (588, 619), 'right_eye': (568, 625)}","{'pitch': -13.076081275939941, 'yaw': -33.35346603393555, 'roll': -12.262258529663086}"
TjABtUgRwT3xhUDKze4Q,120,"{'angry': 0.006988781387917697, 'disgust': 3.622842257300363e-05, 'fear': 18.368251621723175, 'happy': 0.2717861672863364, 'sad': 1.8987054005265236, 'surprise': 0.00026490838536119554, 'neutral': 79.45396304130554}",neutral,"{'x': 1251, 'y': 605, 'w': 48, 'h': 59, 'left_eye': (1291, 632), 'right_eye': (1270, 632)}","{'pitch': -15.324225425720215, 'yaw': -13.769559860229492, 'roll': 6.313432693481445}"
pnAvdH03UCcuuJfrt2jv,120,"{'angry': 0.23969602771103382, 'disgust': 1.613290195878747e-08, 'fear': 54.77091073989868, 'happy': 5.333600370249769e-05, 'sad': 37.88980841636658, 'surprise': 0.0005228427198744612, 'neutral': 7.099013775587082}",fear,"{'x': 607, 'y': 490, 'w': 22, 'h': 29, 'left_eye': (624, 501), 'right_eye': (615, 501)}","{'pitch': -11.609179496765137, 'yaw': -23.194299697875977, 'roll': -0.9758727550506592}"
lcZXTRvsQHCo3tJjbOfc,120,"{'angry': 0.7391893770545721, 'disgust': 3.9410699059772014e-05, 'fear': 16.57603532075882, 'happy': 1.1222349479794502, 'sad': 13.38852047920227, 'surprise': 0.08806523401290178, 'neutral': 68.08592081069946}",neutral,"{'x': 760, 'y': 483, 'w': 25, 'h': 35, 'left_eye': (778, 497), 'right_eye': (767, 497)}","{'pitch': -21.31435203552246, 'yaw': -10.583016395568848, 'roll': -2.9903454780578613}"
P6gF42vwzA2PjCkJPDLz,180,"{'angry': 98.18788170814514, 'disgust': 2.493517545221202e-10, 'fear': 0.014825628022663295, 'happy': 2.2479700589883578e-05, 'sad': 0.7724676746875048, 'surprise': 1.603184585086126e-07, 'neutral': 1.024799793958664}",angry,"{'x': 1450, 'y': 579, 'w': 52, 'h': 58, 'left_eye': (1481, 604), 'right_eye': (1459, 601)}","{'pitch': -22.345895767211914, 'yaw': 15.920781135559082, 'roll': 11.507059097290039}"
HRnEUsOUUy7KEXHqUAGf,180,"{'angry': 53.31734458414848, 'disgust': 1.4813442195761577e-05, 'fear': 46.26620963409062, 'happy': 0.00708363743657767, 'sad': 0.40902146357553765, 'surprise': 1.309660163233072e-05, 'neutral': 0.0003241287163147709}",angry,"{'x': 527, 'y': 602, 'w': 57, 'h': 63, 'left_eye': (567, 624), 'right_eye': (543, 635)}","{'pitch': -25.55942153930664, 'yaw': -4.057899475097656, 'roll': -24.490184783935547}"
TjABtUgRwT3xhUDKze4Q,180,"{'angry': 0.001510132462557447, 'disgust': 1.645839534968691e-06, 'fear': 0.03076156059980415, 'happy': 62.719754848509446, 'sad': 1.9956826647302313, 'surprise': 8.05862970877505e-05, 'neutral': 35.25220033500191}",happy,"{'x': 1251, 'y': 601, 'w': 51, 'h': 63, 'left_eye': (1294, 631), 'right_eye': (1274, 630)}","{'pitch': -12.804845809936523, 'yaw': -10.797664642333984, 'roll': 7.1042561531066895}"
pnAvdH03UCcuuJfrt2jv,180,"{'angry': 0.05655777395674729, 'disgust': 1.1656462894331046e-11, 'fear': 0.6167070842061689, 'happy': 2.436736824341992e-05, 'sad': 79.01604646539965, 'surprise': 0.0006077857413691585, 'neutral': 20.310055930021758}",sad,"{'x': 607, 'y': 491, 'w': 23, 'h': 28, 'left_eye': (624, 501), 'right_eye': (615, 502)}","{'pitch': -15.044463157653809, 'yaw': -5.427575588226318, 'roll': -2.990996837615967}"
P6gF42vwzA2PjCkJPDLz,240,"{'angry': 50.304245948791504, 'disgust': 1.3736483653971126e-13, 'fear': 0.0072495604399591684, 'happy': 0.002877717270166613, 'sad': 0.7516419515013695, 'surprise': 2.68624861937683e-09, 'neutral': 48.933979868888855}",angry,"{'x': 1450, 'y': 578, 'w': 52, 'h': 58, 'left_eye': (1480, 604), 'right_eye': (1459, 600)}","{'pitch': -23.995817184448242, 'yaw': 16.99148941040039, 'roll': 13.204496383666992}"
HRnEUsOUUy7KEXHqUAGf,240,"{'angry': 65.86450934410095, 'disgust': 5.5652932349353756e-11, 'fear': 0.16456801677122712, 'happy': 1.1705174784992778e-05, 'sad': 12.509864568710327, 'surprise': 1.6649920553390984e-06, 'neutral': 21.461045742034912}",angry,"{'x': 554, 'y': 592, 'w': 51, 'h': 64, 'left_eye': (597, 615), 'right_eye': (583, 620)}","{'pitch': -10.512511253356934, 'yaw': -49.06849670410156, 'roll': -16.240219116210938}"
TjABtUgRwT3xhUDKze4Q,240,"{'angry': 0.0006388071597029921, 'disgust': 4.9745313424054416e-08, 'fear': 95.76823711395264, 'happy': 4.126686230301857, 'sad': 0.08232190739363432, 'surprise': 0.021910216310061514, 'neutral': 0.00021070043203508249}",fear,"{'x': 1234, 'y': 601, 'w': 46, 'h': 56, 'left_eye': (1259, 629), 'right_eye': (1243, 623)}","{'pitch': -14.294060707092285, 'yaw': 21.099775314331055, 'roll': 9.611759185791016}"
pnAvdH03UCcuuJfrt2jv,240,"{'angry': 0.0415122922277078, 'disgust': 5.269044207022178e-11, 'fear': 0.13792241225019097, 'happy': 0.0015997586160665378, 'sad': 85.53370833396912, 'surprise': 0.00018983737390954047, 'neutral': 14.28506225347519}",sad,"{'x': 607, 'y': 491, 'w': 23, 'h': 28, 'left_eye': (624, 501), 'right_eye': (615, 501)}","{'pitch': -5.563361167907715, 'yaw': 5.438549041748047, 'roll': -3.820514678955078}"
lcZXTRvsQHCo3tJjbOfc,240,"{'angry': 0.020206552039104823, 'disgust': 6.115705640057863e-07, 'fear': 0.006890738269786582, 'happy': 1.1270938181635033, 'sad': 1.1282046066644553, 'surprise': 0.0008115415341173375, 'neutral': 97.71679030160846}",neutral,"{'x': 758, 'y': 481, 'w': 27, 'h': 36, 'left_eye': (777, 495), 'right_eye': (765, 495)}","{'pitch': -12.379965782165527, 'yaw': -5.921881198883057, 'roll': -3.2562472820281982}"
P6gF42vwzA2PjCkJPDLz,300,"{'angry': 99.99968409536386, 'disgust': 2.9418041480766904e-11, 'fear': 5.649766076442638e-05, 'happy': 6.71292395048857e-05, 'sad': 9.040189722743775e-05, 'surprise': 1.7336125973420243e-10, 'neutral': 0.0001071023298382518}",angry,"{'x': 1452, 'y': 580, 'w': 52, 'h': 57, 'left_eye': (1484, 608), 'right_eye': (1462, 602)}","{'pitch': -26.504981994628906, 'yaw': 15.659449577331543, 'roll': 7.366054058074951}"
HRnEUsOUUy7KEXHqUAGf,300,"{'angry': 5.346564311198675, 'disgust': 2.227260998799076e-07, 'fear': 93.71113852129716, 'happy': 0.0030016872247532337, 'sad': 0.9383785351063567, 'surprise': 1.5139330471954669e-05, 'neutral': 0.0008886341525112078}",fear,"{'x': 524, 'y': 597, 'w': 57, 'h': 68, 'left_eye': (567, 621), 'right_eye': (542, 629)}","{'pitch': -15.301721572875977, 'yaw': -8.502017974853516, 'roll': -20.465049743652344}"
TjABtUgRwT3xhUDKze4Q,300,"{'angry': 6.128976866602898, 'disgust': 0.0006622285127377836, 'fear': 1.6054805368185043, 'happy': 0.7824393920600414, 'sad': 14.083537459373474, 'surprise': 0.00012319281950112781, 'neutral': 77.39878296852112}",neutral,"{'x': 1246, 'y': 599, 'w': 52, 'h': 63, 'left_eye': (1286, 629), 'right_eye': (1263, 626)}","{'pitch': -12.297468185424805, 'yaw': -3.0020382404327393, 'roll': 6.421627521514893}"
pnAvdH03UCcuuJfrt2jv,300,"{'angry': 0.00010960068266285816, 'disgust': 5.4728631961132916e-17, 'fear': 0.5323254503309727, 'happy': 6.9416396242250045e-09, 'sad': 95.66464424133301, 'surprise': 2.6106452555296755e-07, 'neutral': 3.802916407585144}",sad,"{'x': 608, 'y': 490, 'w': 23, 'h': 29, 'left_eye': (625, 501), 'right_eye': (615, 501)}","{'pitch': -15.254654884338379, 'yaw': 11.295563697814941, 'roll': -4.64997673034668}"
P6gF42vwzA2PjCkJPDLz,360,"{'angry': 0.0009074587069335394, 'disgust': 0.00035290420328237815, 'fear': 0.0009602194040780887, 'happy': 97.16008305549622, 'sad': 0.025515060406178236, 'surprise': 0.002554197453719098, 'neutral': 2.8096215799450874}",happy,"{'x': 1458, 'y': 592, 'w': 55, 'h': 52, 'left_eye': (1498, 617), 'right_eye': (1473, 613)}","{'pitch': -25.709400177001953, 'yaw': 7.556908130645752, 'roll': 7.6169209480285645}"
TjABtUgRwT3xhUDKze4Q,360,"{'angry': 43.72644126415253, 'disgust': 8.401775062338857e-05, 'fear': 0.017096815281547606, 'happy': 0.9250622242689133, 'sad': 0.65665771253407, 'surprise': 0.00012946636616106844, 'neutral': 54.674530029296875}",neutral,"{'x': 1247, 'y': 599, 'w': 53, 'h': 64, 'left_eye': (1290, 628), 'right_eye': (1267, 626)}","{'pitch': -14.522204399108887, 'yaw': -7.321760177612305, 'roll': 10.41806697845459}"
pnAvdH03UCcuuJfrt2jv,360,"{'angry': 0.14690550742670894, 'disgust': 8.740995127709539e-06, 'fear': 95.59319615364075, 'happy': 0.0003747195933101466, 'sad': 4.259464144706726, 'surprise': 1.3263137077501597e-05, 'neutral': 3.303719040559372e-05}",fear,"{'x': 607, 'y': 490, 'w': 24, 'h': 29, 'left_eye': (625, 501), 'right_eye': (615, 501)}","{'pitch': -14.241433143615723, 'yaw': 9.644781112670898, 'roll': -1.429006576538086}"
lcZXTRvsQHCo3tJjbOfc,360,"{'angry': 0.9334698500895321, 'disgust': 0.02278413283998985, 'fear': 0.03765345185030423, 'happy': 87.3288079892168, 'sad': 0.913658753920645, 'surprise': 0.0024700954998119026, 'neutral': 10.761161686320506}",happy,"{'x': 758, 'y': 482, 'w': 27, 'h': 37, 'left_eye': (776, 497), 'right_eye': (764, 497)}","{'pitch': -11.022195816040039, 'yaw': 33.19424819946289, 'roll': -8.094734191894531}"
P6gF42vwzA2PjCkJPDLz,420,"{'angry': 0.8531035432579245, 'disgust': 9.632487382327502e-06, 'fear': 0.007173206240716576, 'happy': 96.1686251263991, 'sad': 0.019766609780549095, 'surprise': 0.41367483928351634, 'neutral': 2.537650207439077}",happy,"{'x': 1459, 'y': 566, 'w': 53, 'h': 61, 'left_eye': (1505, 592), 'right_eye': (1485, 591)}","{'pitch': -6.306582450866699, 'yaw': -29.671157836914062, 'roll': 10.280056953430176}"
HRnEUsOUUy7KEXHqUAGf,420,"{'angry': 2.1496742963790894, 'disgust': 2.3157363671089115e-05, 'fear': 0.0557144929189235, 'happy': 97.61720895767212, 'sad': 0.0791963015217334, 'surprise': 0.0013338649296201766, 'neutral': 0.09684940450824797}",happy,"{'x': 521, 'y': 606, 'w': 59, 'h': 68, 'left_eye': (569, 630), 'right_eye': (543, 638)}","{'pitch': -20.323488235473633, 'yaw': -26.308609008789062, 'roll': -15.403711318969727}"
TjABtUgRwT3xhUDKze4Q,420,"{'angry': 5.9464231133461, 'disgust': 5.385800250223838e-05, 'fear': 0.04121996462345123, 'happy': 47.51729369163513, 'sad': 0.6453553214669228, 'surprise': 0.0014920967259968165, 'neutral': 45.84815800189972}",happy,"{'x': 1249, 'y': 598, 'w': 51, 'h': 64, 'left_eye': (1291, 627), 'right_eye': (1270, 626)}","{'pitch': -12.172075271606445, 'yaw': -11.636515617370605, 'roll': 11.303314208984375}"
lcZXTRvsQHCo3tJjbOfc,420,"{'angry': 0.1508504501543939, 'disgust': 4.925666541311102e-08, 'fear': 0.000882682616065722, 'happy': 99.84232187271118, 'sad': 0.0007607487532368395, 'surprise': 0.0001512320068286499, 'neutral': 0.005036422589910217}",happy,"{'x': 750, 'y': 474, 'w': 26, 'h': 37, 'left_eye': (767, 488), 'right_eye': (756, 489)}","{'pitch': -13.68807601928711, 'yaw': 24.040958404541016, 'roll': -8.208463668823242}"
pnAvdH03UCcuuJfrt2jv,420,"{'angry': 1.4115363539413983, 'disgust': 9.282345340495278e-07, 'fear': 2.814320884427919, 'happy': 0.0008442075244129514, 'sad': 93.38712771092322, 'surprise': 0.006115710128507673, 'neutral': 2.380053042763109}",sad,"{'x': 608, 'y': 489, 'w': 23, 'h': 30, 'left_eye': (625, 500), 'right_eye': (615, 501)}","{'pitch': -14.967975616455078, 'yaw': 7.00250768661499, 'roll': 0.8843476176261902}"
P6gF42vwzA2PjCkJPDLz,480,"{'angry': 0.022950395854492985, 'disgust': 5.132147183512019e-10, 'fear': 2.3596039951726266e-05, 'happy': 0.16076747354969226, 'sad': 0.014481426614160933, 'surprise': 0.00016058057601531675, 'neutral': 99.80161784896957}",neutral,"{'x': 1405, 'y': 555, 'w': 47, 'h': 58, 'left_eye': (1444, 577), 'right_eye': (1424, 578)}","{'pitch': -11.707329750061035, 'yaw': -20.065128326416016, 'roll': 1.0111879110336304}"
TjABtUgRwT3xhUDKze4Q,480,"{'angry': 3.5562343895435333, 'disgust': 6.07224762916303e-05, 'fear': 0.04828761739190668, 'happy': 0.26568693574517965, 'sad': 5.109017342329025, 'surprise': 2.2238752706016385e-05, 'neutral': 91.02069139480591}",neutral,"{'x': 1251, 'y': 599, 'w': 50, 'h': 60, 'left_eye': (1293, 627), 'right_eye': (1273, 624)}","{'pitch': -12.55186939239502, 'yaw': -10.856717109680176, 'roll': 10.215459823608398}"
lcZXTRvsQHCo3tJjbOfc,480,"{'angry': 6.2328398207235125, 'disgust': 9.932128258455167e-13, 'fear': 0.030086818827421227, 'happy': 1.3898047037987291e-05, 'sad': 55.810839630465466, 'surprise': 4.397984237602917e-09, 'neutral': 37.92622243478566}",sad,"{'x': 560, 'y': 591, 'w': 49, 'h': 63, 'left_eye': (601, 614), 'right_eye': (589, 619)}","{'pitch': -9.805952072143555, 'yaw': -59.147361755371094, 'roll': -14.451602935791016}"
