student_id,Frame,Emotions,Main Emotion,Face Position
student_0,10,"{'angry': 0.000326520785165485, 'disgust': 9.502016661089925e-14, 'fear': 0.001956618871190585, 'happy': 0.0013072059118712787, 'sad': 0.018898492271546274, 'surprise': 0.00024057655991782667, 'neutral': 99.97727274894714}",neutral,"{'x': 1334, 'y': 275, 'w': 147, 'h': 172, 'left_eye': (1384, 352), 'right_eye': (1454, 340)}"
student_1,10,"{'angry': 0.14463126124478945, 'disgust': 7.051846638398567e-07, 'fear': 1.409150744029924, 'happy': 0.0016232787915061626, 'sad': 22.69544289680975, 'surprise': 1.3081442132084149e-05, 'neutral': 75.74913953239557}",neutral,"{'x': 548, 'y': 418, 'w': 154, 'h': 193, 'left_eye': (566, 501), 'right_eye': (629, 514)}"
student_2,10,"{'angry': 0.030625370722308243, 'disgust': 7.109845560531018e-07, 'fear': 0.622754664823969, 'happy': 6.495195272089617e-05, 'sad': 96.61657769877645, 'surprise': 1.5920932249776735e-06, 'neutral': 2.7299753850669126}",sad,"{'x': 421, 'y': 157, 'w': 105, 'h': 134, 'left_eye': (462, 222), 'right_eye': (505, 214)}"
student_3,10,"{'angry': 5.66587895154953, 'disgust': 2.7379485345591092e-05, 'fear': 13.976432383060455, 'happy': 0.1862919540144503, 'sad': 79.00554537773132, 'surprise': 0.0007465587259503081, 'neutral': 1.165081188082695}",sad,"{'x': 1715, 'y': 350, 'w': 157, 'h': 195, 'left_eye': (1728, 422), 'right_eye': (1776, 428)}"
student_4,10,"{'angry': 0.5914988461881876, 'disgust': 4.630440741948405e-06, 'fear': 0.12282509123906493, 'happy': 0.08704184438101947, 'sad': 7.913427799940109, 'surprise': 0.0005918635906709824, 'neutral': 91.28460884094238}",neutral,"{'x': 1023, 'y': 80, 'w': 94, 'h': 135, 'left_eye': (1034, 137), 'right_eye': (1072, 139)}"
student_5,10,"{'angry': 0.00040552694995019155, 'disgust': 3.1161369766856017e-08, 'fear': 3.767777902748835, 'happy': 0.01134771165437336, 'sad': 5.342691499866068, 'surprise': 1.1554028888522522e-05, 'neutral': 90.87776054409021}",neutral,"{'x': 86, 'y': 408, 'w': 149, 'h': 194, 'left_eye': (185, 491), 'right_eye': (216, 479)}"
student_0,20,"{'angry': 0.002813828905345872, 'disgust': 3.270304212098208e-15, 'fear': 0.0008389721187995747, 'happy': 2.0625220997771976e-05, 'sad': 0.05763762746937573, 'surprise': 3.4944353188848254e-06, 'neutral': 99.93869066238403}",neutral,"{'x': 1336, 'y': 275, 'w': 147, 'h': 173, 'left_eye': (1388, 353), 'right_eye': (1459, 344)}"
student_3,20,"{'angry': 0.06488703656941652, 'disgust': 1.1334233107618275e-06, 'fear': 6.402337551116943, 'happy': 0.0026337094823247753, 'sad': 90.73538780212402, 'surprise': 2.5037539330696745e-05, 'neutral': 2.7947312220931053}",sad,"{'x': 1715, 'y': 350, 'w': 155, 'h': 196, 'left_eye': (1729, 422), 'right_eye': (1775, 430)}"
student_2,20,"{'angry': 0.5200556323710461, 'disgust': 6.412788904657222e-07, 'fear': 2.1283719094617313, 'happy': 2.3605130636029428e-05, 'sad': 88.69041137042113, 'surprise': 6.309784005014084e-06, 'neutral': 8.66113207704616}",sad,"{'x': 425, 'y': 166, 'w': 105, 'h': 135, 'left_eye': (462, 228), 'right_eye': (507, 225)}"
student_1,20,"{'angry': 0.007340479351114482, 'disgust': 1.866627269420107e-08, 'fear': 0.42102145962417126, 'happy': 1.4678872162221523e-05, 'sad': 95.5270528793335, 'surprise': 3.144692839462948e-09, 'neutral': 4.044568911194801}",sad,"{'x': 522, 'y': 418, 'w': 138, 'h': 204, 'left_eye': (540, 506), 'right_eye': (567, 514)}"
student_5,20,"{'angry': 0.1378656830638647, 'disgust': 8.064656581430185e-09, 'fear': 0.0057082590501522645, 'happy': 0.006397258403012529, 'sad': 0.8444132283329964, 'surprise': 4.6617310012209145e-07, 'neutral': 99.00561571121216}",neutral,"{'x': 112, 'y': 419, 'w': 143, 'h': 186, 'left_eye': (210, 498), 'right_eye': (239, 491)}"
student_4,20,"{'angry': 10.99623498275697, 'disgust': 0.0002941895796175382, 'fear': 0.2858275655526001, 'happy': 0.37538269353004616, 'sad': 10.177854171735545, 'surprise': 0.006463061478940648, 'neutral': 78.1579468438562}",neutral,"{'x': 1035, 'y': 82, 'w': 98, 'h': 134, 'left_eye': (1056, 140), 'right_eye': (1099, 140)}"
student_0,30,"{'angry': 0.0065880664185492795, 'disgust': 1.39625985769013e-08, 'fear': 0.027842408075848705, 'happy': 99.21677107910938, 'sad': 0.022651371441025074, 'surprise': 0.40400929363127314, 'neutral': 0.32214223930342434}",happy,"{'x': 1341, 'y': 261, 'w': 146, 'h': 175, 'left_eye': (1394, 334), 'right_eye': (1462, 326)}"
student_3,30,"{'angry': 0.04663234867621213, 'disgust': 7.397810577458586e-05, 'fear': 8.855142444372177, 'happy': 0.0003274805294495309, 'sad': 89.15086388587952, 'surprise': 3.2095268664988907e-06, 'neutral': 1.9469570368528366}",sad,"{'x': 1716, 'y': 351, 'w': 153, 'h': 193, 'left_eye': (1730, 424), 'right_eye': (1775, 431)}"
student_2,30,"{'angry': 0.6574168335646391, 'disgust': 4.4317776115576635e-06, 'fear': 5.214768275618553, 'happy': 3.6390460422808246e-05, 'sad': 89.74197506904602, 'surprise': 4.789709961983135e-06, 'neutral': 4.385793209075928}",sad,"{'x': 437, 'y': 168, 'w': 106, 'h': 135, 'left_eye': (474, 232), 'right_eye': (519, 229)}"
student_1,30,"{'angry': 0.03145595171827653, 'disgust': 1.0695582032894251e-07, 'fear': 6.9022498247325625, 'happy': 2.6819287413438686e-05, 'sad': 91.02472173872927, 'surprise': 1.6727511602418052e-06, 'neutral': 2.0415430317469796}",sad,"{'x': 518, 'y': 431, 'w': 131, 'h': 206, 'left_eye': (538, 519), 'right_eye': (558, 528)}"
student_4,30,"{'angry': 1.6550114378333092, 'disgust': 5.063555974516021e-06, 'fear': 0.051425700075924397, 'happy': 0.012674559548031539, 'sad': 5.037451535463333, 'surprise': 0.000559206955585978, 'neutral': 93.24287176132202}",neutral,"{'x': 1041, 'y': 87, 'w': 99, 'h': 134, 'left_eye': (1059, 145), 'right_eye': (1105, 146)}"
student_5,30,"{'angry': 0.0580672116484493, 'disgust': 4.545144065559725e-05, 'fear': 12.405166029930115, 'happy': 55.566900968551636, 'sad': 5.875635519623756, 'surprise': 0.0007275595180544769, 'neutral': 26.093459129333496}",happy,"{'x': 125, 'y': 413, 'w': 147, 'h': 197, 'left_eye': (223, 500), 'right_eye': (255, 489)}"
student_0,40,"{'angry': 0.0014112758572275659, 'disgust': 5.266369177723179e-10, 'fear': 6.594194483737502e-05, 'happy': 99.95260239212485, 'sad': 0.0012489576295562307, 'surprise': 0.04129267853175956, 'neutral': 0.003372053795845354}",happy,"{'x': 1346, 'y': 246, 'w': 145, 'h': 174, 'left_eye': (1397, 318), 'right_eye': (1465, 310)}"
student_3,40,"{'angry': 0.005901217070224595, 'disgust': 1.1380512322508144e-06, 'fear': 9.756772056625609, 'happy': 1.108770511077077, 'sad': 85.72982464610484, 'surprise': 0.02602611939950999, 'neutral': 3.3727044387283587}",sad,"{'x': 1696, 'y': 336, 'w': 114, 'h': 188, 'left_eye': (1718, 409), 'right_eye': (1724, 410)}"
student_5,40,"{'angry': 0.1870762100948441, 'disgust': 7.412588325460977e-07, 'fear': 0.26238138453586285, 'happy': 81.60243253678888, 'sad': 0.21937894348008113, 'surprise': 0.0003428844184395107, 'neutral': 17.728378745510728}",happy,"{'x': 123, 'y': 403, 'w': 151, 'h': 192, 'left_eye': (220, 485), 'right_eye': (258, 475)}"
