student_id,Frame,Emotions,Main Emotion,Face Position
student_0,10,"{'angry': 0.0002259303528262535, 'disgust': 1.5396355251915544e-12, 'fear': 5.616770160088436e-07, 'happy': 99.99847412109375, 'sad': 7.053281336766304e-06, 'surprise': 9.013744069717722e-11, 'neutral': 0.0012907599739264697}",happy,"{'x': 517, 'y': 598, 'w': 56, 'h': 70, 'left_eye': (522, 630), 'right_eye': (540, 624)}"
student_1,10,"{'angry': 0.00020249697312618378, 'disgust': 2.8878647710196754e-09, 'fear': 8.079122335013128e-07, 'happy': 95.49431151083844, 'sad': 0.0014393866773964787, 'surprise': 3.9023675058186496e-08, 'neutral': 4.50405047882205}",happy,"{'x': 1452, 'y': 592, 'w': 56, 'h': 62, 'left_eye': (1469, 614), 'right_eye': (1494, 620)}"
student_2,10,"{'angry': 46.107173430064506, 'disgust': 0.00042692594801516147, 'fear': 43.98994517446218, 'happy': 9.749491840661545, 'sad': 0.12485853770571498, 'surprise': 0.02641037839415629, 'neutral': 0.0016883863087967528}",angry,"{'x': 1235, 'y': 605, 'w': 51, 'h': 61, 'left_eye': (1245, 629), 'right_eye': (1267, 630)}"
student_3,10,"{'angry': 84.82452630996704, 'disgust': 0.0002357783159823157, 'fear': 14.654920995235443, 'happy': 0.2705216873437166, 'sad': 0.1021307660266757, 'surprise': 0.04713688977062702, 'neutral': 0.10052709840238094}",angry,"{'x': 757, 'y': 475, 'w': 26, 'h': 38, 'left_eye': (762, 489), 'right_eye': (774, 489)}"
student_4,10,"{'angry': 93.66574883460999, 'disgust': 0.004940071448800154, 'fear': 3.2492946833372116, 'happy': 0.3479923587292433, 'sad': 2.72370632737875, 'surprise': 0.0015557539882138371, 'neutral': 0.0067700537329073995}",angry,"{'x': 603, 'y': 488, 'w': 26, 'h': 31, 'left_eye': (610, 501), 'right_eye': (622, 500)}"
student_0,20,"{'angry': 1.0622703605633887e-06, 'disgust': 1.4987081677001145e-16, 'fear': 5.501451724732043e-10, 'happy': 99.99991655349731, 'sad': 4.7662485069821514e-08, 'surprise': 6.411338745061085e-12, 'neutral': 8.352675422429456e-05}",happy,"{'x': 515, 'y': 598, 'w': 55, 'h': 72, 'left_eye': (519, 627), 'right_eye': (536, 623)}"
student_1,20,"{'angry': 0.00023917374680831077, 'disgust': 3.8439791837064483e-10, 'fear': 1.8464104235875798e-06, 'happy': 99.84776972817002, 'sad': 2.478994224441854e-05, 'surprise': 2.6212866330080404e-06, 'neutral': 0.15196939671974757}",happy,"{'x': 1451, 'y': 591, 'w': 57, 'h': 64, 'left_eye': (1469, 613), 'right_eye': (1494, 620)}"
student_2,20,"{'angry': 0.7113467860279552, 'disgust': 0.018580071280360745, 'fear': 97.1395431244101, 'happy': 0.9437272887663417, 'sad': 1.1683767426536527, 'surprise': 0.0065316733781035025, 'neutral': 0.01189567845321579}",fear,"{'x': 1234, 'y': 602, 'w': 51, 'h': 65, 'left_eye': (1244, 629), 'right_eye': (1266, 632)}"
student_3,20,"{'angry': 7.447199523448944, 'disgust': 9.646463183798915e-06, 'fear': 0.005598585994448513, 'happy': 0.4955954384058714, 'sad': 2.282647043466568, 'surprise': 0.003305626887595281, 'neutral': 89.7656500339508}",neutral,"{'x': 758, 'y': 476, 'w': 26, 'h': 37, 'left_eye': (762, 489), 'right_eye': (774, 490)}"
student_4,20,"{'angry': 92.61066913604736, 'disgust': 0.50785718485713, 'fear': 1.3176048174500465, 'happy': 0.004277916013961658, 'sad': 5.5258627980947495, 'surprise': 6.356514177241479e-05, 'neutral': 0.03366542514413595}",angry,"{'x': 604, 'y': 489, 'w': 25, 'h': 31, 'left_eye': (609, 501), 'right_eye': (622, 501)}"
